signal,key
0.15789473684210528,4-17
0.47368421052631576,4-18
0.15789473684210528,4-23
0.15789473684210528,4-29
0.47368421052631576,4-30
0.7894736842105263,5-2
0.15789473684210528,5-15
0.2631578947368421,5-17
0.47368421052631576,5-18
0.31578947368421056,5-19
0.9473684210526315,5-20
0.15789473684210528,5-22
0.47368421052631576,5-23
0.15789473684210528,5-26
0.31578947368421056,5-27
0.15789473684210528,5-31
0.15789473684210528,6-5
0.47368421052631576,6-6
0.7894736842105263,6-7
0.2631578947368421,6-8
0.47368421052631576,6-9
0.15789473684210528,6-10
0.15789473684210528,6-11
0.15789473684210528,6-14
0.2631578947368421,6-17
0.3684210526315789,6-18
0.15789473684210528,6-19
0.15789473684210528,6-20
0.2631578947368421,6-21
0.23684210526315788,6-22
0.2631578947368421,6-23
0.5187969924812029,6-24
0.7578947368421052,6-25
0.23684210526315788,6-26
0.5864661654135338,6-27
0.22105263157894736,6-28
0.7894736842105263,6-29
0.4473684210526316,6-30
0.31578947368421056,7-1
0.15789473684210528,7-2
0.31578947368421056,7-3
0.15789473684210528,7-4
0.5639097744360902,7-5
0.7894736842105263,7-6
0.31578947368421056,7-7
0.2631578947368421,7-8
0.4105263157894737,7-9
0.15789473684210528,7-10
0.4421052631578947,7-11
0.3473684210526316,7-12
0.15789473684210528,7-14
0.15789473684210528,7-15
0.4880382775119617,7-16
0.4285714285714286,7-17
0.45614035087719296,7-18
0.5723684210526315,7-19
0.15789473684210528,7-20
0.31578947368421056,7-21
0.6842105263157894,7-22
0.7894736842105263,7-23
0.7033492822966506,7-24
0.6052631578947368,7-25
0.5413533834586466,7-26
0.47368421052631576,7-27
0.22105263157894736,7-28
0.47368421052631576,7-29
0.6710526315789473,7-30
0.15789473684210528,7-31
0.39473684210526316,8-1
1.0,8-2
0.2631578947368421,8-3
0.513157894736842,8-4
0.3473684210526316,8-5
0.7368421052631579,8-6
0.15789473684210528,8-7
0.15789473684210528,8-8
0.24812030075187966,8-9
0.5,8-10
0.5789473684210525,8-11
0.5052631578947369,8-12
0.31578947368421056,8-13
0.5921052631578947,8-14
0.15789473684210528,8-15
0.4421052631578947,8-16
0.28421052631578947,8-17
0.28421052631578947,8-18
0.23684210526315788,8-19
0.45614035087719296,8-20
0.4105263157894737,8-21
0.8842105263157894,8-22
0.375,8-23
0.2631578947368421,8-24
0.15789473684210528,8-25
0.5526315789473685,8-26
0.4421052631578947,8-27
0.31578947368421056,8-28
0.15789473684210528,8-29
0.15789473684210528,8-30
0.5684210526315789,8-31
0.31578947368421056,9-1
0.7578947368421052,9-2
0.28421052631578947,9-3
0.31578947368421056,9-4
0.47368421052631576,9-5
0.513157894736842,9-6
0.2631578947368421,9-7
0.5526315789473685,9-8
0.9473684210526315,9-9
0.2631578947368421,9-10
0.4473684210526316,9-11
0.2631578947368421,9-12
0.28421052631578947,9-13
0.4105263157894737,9-14
0.6090225563909775,9-15
0.6172248803827751,9-16
0.6052631578947368,9-17
0.47368421052631576,9-18
0.39473684210526316,9-19
0.3684210526315789,9-20
0.3684210526315789,9-21
0.39473684210526316,9-22
0.6491228070175438,9-23
0.5614035087719298,9-24
0.47368421052631576,9-25
0.7894736842105263,9-26
0.15789473684210528,9-27
0.31578947368421056,9-28
0.5,9-29
0.15789473684210528,9-30
0.31578947368421056,10-1
0.23684210526315788,10-2
0.6710526315789473,10-3
0.15789473684210528,10-4
0.15789473684210528,10-5
0.15789473684210528,10-6
0.3684210526315789,10-7
0.15789473684210528,10-11
0.3684210526315789,10-12
0.9473684210526315,10-13
0.15789473684210528,10-15
0.47368421052631576,10-16
0.15789473684210528,10-19
0.15789473684210528,10-20
0.3684210526315789,10-21
0.15789473684210528,10-22
0.23684210526315788,10-23
0.3684210526315789,10-24
0.15789473684210528,10-25
0.47368421052631576,10-26
0.31578947368421056,10-27
0.15789473684210528,10-30
0.15789473684210528,10-31
0.15789473684210528,11-1
0.15789473684210528,11-2
0.31578947368421056,11-4
